Email_ID,Age_Group,Gender,Region,Device_Used,Previous_Hulu_Subscription_Length,Preferred_Genre,Subscription_Status,Hulu_Watch_Time,Hulu_Subscription_Date,Hulu_Cancellation_Date
1,35-44,Female,Asia,Tablet,29,Action,Not Subscribed,38590,2021-11-01,2022-10-20
2,18-24,Male,South America,TV,52,Drama,Not Subscribed,6870,2022-07-31,2023-07-29
3,55+,Female,Asia,,17,Thriller,Not Subscribed,13551,2022-08-24,2023-02-07
4,35-44,Undisclosed,North America,Tablet,39,Thriller,Subscribed,2401,2022-04-25,2024-04-18
5,25-34,Female,North America,Tablet,56,Comedy,Not Subscribed,61499,2022-01-05,2024-01-03
6,45-54,Female,Europe,TV,60,Comedy,Not Subscribed,17149,2023-03-03,
7,45-54,Male,South America,,43,Comedy,Not Subscribed,20792,2022-07-31,2023-01-17
8,55+,Female,North America,Mobile,4,Comedy,Subscribed,77918,2022-12-28,
9,35-44,Undisclosed,Asia,Mobile,34,Action,Subscribed,85641,2023-07-01,2023-10-04
10,35-44,Male,Europe,Tablet,24,Sci-Fi,Subscribed,97983,2021-11-24,
11,18-24,Male,South America,TV,54,Comedy,Not Subscribed,4019,2022-01-26,2022-07-01
12,18-24,Female,Asia,Mobile,22,Thriller,Not Subscribed,9295,2023-08-14,2024-05-06
13,55+,Male,Asia,Tablet,51,Sci-Fi,Not Subscribed,70640,2022-02-13,
14,55+,,South America,Mobile,43,Comedy,Not Subscribed,92529,2022-03-01,
15,35-44,Female,South America,Mobile,26,Comedy,Not Subscribed,33528,2022-07-28,
16,35-44,Undisclosed,South America,TV,34,Action,Subscribed,95389,2021-12-01,
17,25-34,Male,Europe,Mobile,16,Drama,Not Subscribed,88555,2023-05-31,2023-06-04
18,25-34,Undisclosed,Europe,Mobile,2,Drama,Subscribed,66074,2022-07-19,2024-08-23
19,55+,Undisclosed,Europe,Mobile,13,Action,Not Subscribed,8852,2023-05-26,2024-09-01
20,25-34,Female,Europe,Tablet,22,Drama,Not Subscribed,80012,2023-02-16,
21,25-34,Female,South America,TV,21,Comedy,Not Subscribed,40941,2022-08-05,2024-08-26
22,25-34,,Africa,TV,22,Comedy,Subscribed,91318,2022-07-10,
23,35-44,Female,Asia,Mobile,14,Comedy,Subscribed,10024,2021-09-14,
24,45-54,Undisclosed,Europe,Tablet,14,Thriller,Not Subscribed,99260,2023-05-26,
25,18-24,Undisclosed,South America,TV,16,Fantasy,Not Subscribed,32489,2023-06-21,2024-08-26
26,25-34,,Europe,Mobile,31,Fantasy,Subscribed,5164,2022-05-23,
27,25-34,Undisclosed,North America,,30,Comedy,Subscribed,70754,2022-02-12,2022-05-15
28,55+,Undisclosed,North America,Mobile,14,Thriller,Not Subscribed,2050,2023-07-30,
29,18-24,,Asia,Mobile,55,Fantasy,Not Subscribed,85067,2021-12-04,2022-03-18
30,35-44,Undisclosed,Africa,TV,57,Thriller,Not Subscribed,86179,2023-07-23,
31,18-24,Female,North America,,45,Action,Not Subscribed,15493,2023-06-13,2024-05-30
32,45-54,Male,Africa,Mobile,11,Thriller,Not Subscribed,23936,2023-03-24,2024-07-10
33,35-44,Female,South America,Tablet,60,Drama,Not Subscribed,58114,2022-05-11,
34,25-34,Female,South America,TV,19,Fantasy,Subscribed,87003,2022-07-31,
35,18-24,Undisclosed,South America,Tablet,17,Action,Not Subscribed,40140,2021-12-20,
36,18-24,Male,Asia,TV,40,Thriller,Not Subscribed,28012,2023-01-01,2023-03-05
37,45-54,Male,North America,Mobile,9,Action,Not Subscribed,42251,2021-11-30,
38,35-44,Undisclosed,Europe,TV,54,Thriller,Subscribed,33878,2022-01-21,
39,35-44,Female,North America,Tablet,1,Fantasy,Not Subscribed,54831,2023-06-11,2023-08-15
